Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,Outlet_Years,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_1,Outlet_Size_2,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
FDA15,9.3,0.9229596700085654,Dairy,249.8092,OUT049,1999,3735.138,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
DRC01,5.92,1.0030565792305357,Soft Drinks,48.2692,OUT018,2009,443.4228,4,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
FDN15,17.5,0.8319896179620336,Meat,141.618,OUT049,1999,2097.27,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
FDX07,19.2,0.75,Fruits and Vegetables,182.095,OUT010,1998,732.38,15,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NCD19,8.93,0.6666666666666667,Household,53.8614,OUT013,1987,994.7052,26,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
FDP36,10.395,0.75,Baking Goods,51.4008,OUT018,2009,556.6088,4,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDO10,13.65,0.9582063856971155,Snack Foods,57.6588,OUT013,1987,343.5528,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
FDP10,19.0,0.9946778305578745,Snack Foods,107.7622,OUT027,1985,4022.7636,28,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
FDH17,16.2,0.90399742766201,Frozen Foods,96.9726,OUT045,2002,1076.5986,11,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
FDU28,19.2,0.8736089527619524,Frozen Foods,187.8214,OUT017,2007,4710.535,6,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
FDY07,11.8,0.6363636363636364,Fruits and Vegetables,45.5402,OUT049,1999,1516.0266,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
